Department,Functional Area,2024 Description,2025 Description,Application/Platform,Vendor,Entity,Cost Type,GL Code,CapEx / OpEx,Multi-Year Licence?,Renewal Date,Pre-Paid,Classification,2024 Current Forecast,2024 Original Forecast,2024 Agreed Budget,2024 Variance,2023-2024 Difference,Dec 2025 Actuals,Dec 2025 PO Details,2025 Current Forecast,2025 Original Forecast,2025 Agreed Budget,2025 Variance,2024-2025 Difference
BPS Corporate,IS Corporate - Legal (65180),Contract Life Cycle Mgmt System Implementation - SaaS Fee,,,Apttus Corporation,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,12/30/23,True,Extend,"$144,731","$145,200","$145,200",-$469,"$4,367",,,"$84,000","$84,000","$84,000",$0,"-$61,200"
IS Enterprise Data,IS Enterprise Data & Analytics (65115),CopyStorm - Yearly Licenses,CopyStorm - Yearly Licenses,CopyStorm,"Capstorm, LLC",2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,3 Year,12/03/27,,Extend,"$8,379","$8,379","$7,980",$0,"-$13,081",,,"$8,379","$8,379","$8,379",$0,$399
BPS Commercial,IS Commercial - Omnichannel (65160),"CSC & Network Solutions,Internet Domain Names Registrars (Combined)",Web domain Registration,CSC,CSC Corporation Service Company,2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,,,Extend,"$299,374","$370,243","$374,000","-$70,869","-$39,626",,,"$374,000","$374,000","$374,000",$0,$0
IS Enterprise Data,IS Enterprise Data & Analytics (65115),Data and Report Operations and Support - Offshore,Data and Report Operations and Support - Offshore,Offshore Data Ops Support,Intelliswift Software Inc.,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,No,12/31/24,,Extend,"$2,158,944","$2,158,944","$2,158,944",$0,"$948,624",,,"$2,309,760","$2,309,760","$2,309,760",$0,"$150,816"
BPS Corporate,IS Corporate - Other/IS (65180),Docusign SAAS Fee,,,DocuSign Inc,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,04/30/26,True,Extend,"$277,367","$342,170","$325,440","-$64,803",-$337,,,"$370,128","$370,128","$370,128",$0,"$44,688"
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),Dublin Office Landlines and Athlone Internet from Eir,,Telephony,Eircom Ltd,1200 - IRE,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,,,Extend,"$15,277","$55,200","$55,200","-$39,923","-$32,723",,,"$32,500","$32,500","$32,500",$0,"-$22,700"
IS ED&EUS,IS ED&EUS - End User Services (65140),Endpoint Backup (Carbonite),,,Groupware Technology Inc,2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,02/27/24,,Extend,"$29,691","$24,000","$36,000","$5,691","-$6,309",,,"$24,000","$24,000","$24,000",$0,"-$12,000"
BPS R&D,IS R&D – Global Clinical Development Operations (65170),"Enhance Global CTD Authoring Standards and Templates - 'Starting Point"" Support Maintenance","Enhance Global CTD Authoring Standards and Templates - 'Starting Point"" Support Maintenance",Starting Point,Accenture LLP,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,06/30/24,,Extend,"$10,500","$18,000","$18,000","-$7,500","-$5,500",,,"$18,000","$18,000","$18,000",$0,$0
IS Infrastructure,IS Global Infrastructure - Manufacturing (65150),"Manufacturing - Legacy enterprise eVault backup at sites (Vancouver, Athlone) that needs to remain until these sites have been converted to Veeam and the restores have expired","Manufacturing - LEGACY enterprise eVault backup at sites (Vancouver, Athlone) that needs to remain until these sites have been converted to Veeam and the restores have expired",Carbonite eVault,Evotek,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,12/14/25,True,Extend,"$49,761","$49,761","$45,000",$0,"-$50,466",,,$0,$0,$0,$0,"-$45,000"
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),"Webex -100 users, cloud management, calling plans - Global",,,"NTT America Solutions, Inc.",2101 - US,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,10/22/23,,Extend,"$60,124","$32,000","$32,000","$28,124","$40,124",,,"$50,300","$50,300","$50,300",$0,"$18,300"
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),Global Efax,,,j2 Global Inc dba eFax Corporate,2101 - US,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,,,Extend,"$41,986","$30,000","$30,000","$11,986","$23,986",,,"$30,000","$30,000","$30,000",$0,$0
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),Global Network - ATH CCTV Internet Access Circuits (Committed),,CCTV,Airspeed Telecom,1200 - IRE,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,,,Extend,"$19,819","$19,800","$18,000",$19,"$1,819",,,"$17,000","$17,000","$17,000",$0,"-$1,000"
BPS R&D,IS R&D - Global Regulatory Affairs (65170),GlobalSubmit Regulatory Submissions - SaaS - Ongoing Run,,GlobalSubmit,Certara USA Inc,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,10/31/23,True,Retire,"$291,750","$300,000","$300,000","-$8,250","-$88,250",,,$0,$0,$0,$0,"-$300,000"
BPS R&D,IS R&D - Global Regulatory Affairs (65170),Regulatory - GlobalSign Digital Certificate,,GlobalSign,GMO GlobalSign,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,,,Extend,$0,$0,$0,$0,"-$8,700",,,"$2,000","$2,000","$2,000",$0,"$2,000"
BPS Corporate,IS Corporate - HR (65180),Workday Annual SaaS Fees (incl $320k for adding GW employees to new tenant),,,Workday Inc,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,12/31/23,,Extend,"$1,088,728","$1,117,206","$1,099,992","-$28,478","$361,708",,,"$1,218,376","$1,218,376","$1,218,376",$0,"$118,384"
BPS R&D,IS R&D – Global Pharmacovigilance & Labeling (65170),QlikView Software Annual Maintenance Fee,,Qlik,"QlikTech, Inc.",2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,09/30/23,,Extend,"$36,505","$36,505","$35,000",$0,"$1,739",,,"$36,505","$36,505","$36,505",$0,"$1,505"
IS SOC,IS Management (65100),IT - Gartner Subscription Annual Fees,,,Gartner,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,3 Year,09/30/24,True,Extend,"$531,288","$532,667","$526,000","-$1,378","$110,280",,,"$555,200","$555,200","$555,200",$0,"$29,200"
IS Enterprise Data,IS Enterprise Data & Analytics (65115),Reltio MDM - Yearly Licenses,Reltio MDM - Yearly Licenses,Reltio,"Reltio, Inc.",2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,No,03/31/25,True,Extend,"$185,719","$185,718","$179,004",$1,"$6,715",,,"$46,989","$46,989","$46,989",$0,"-$132,015"
IS ED&EUS,IS ED&EUS - End User Services (65140),IT Supplies New Hire/Replacement- General (US),,,"CDW Direct, LLC",2101 - US,INFRA --- Infrastructure under $5k per unit and <$100k per purchase (Opex),630700,Op Ex,,,,Extend,$0,$0,"$394,722",$0,"-$506,000",,,"$600,000","$600,000","$600,000",$0,"$205,278"
IS ED&EUS,IS ED&EUS - End User Services (65140),IT Supplies New Hire/replacement - General (EU),IT Supplies New Hire/replacement - General (EU),Hardware,HiberniaEvros Technology Group,1200 - IRE,INFRA --- Infrastructure under $5k per unit and <$100k per purchase (Opex),630700,Op Ex,,,,Extend,"$127,372","$363,003","$396,989","-$235,631","-$231,620",,,"$435,600","$435,600","$435,600",$0,"$38,611"
IS ED&EUS,IS ED&EUS - End User Services (65140),IT Supplies - iPads (replacements) OPEX,IT Supplies - iPads (replacements) OPEX,Hardware,HiberniaEvros Technology Group,1200 - IRE,INFRA --- Infrastructure under $5k per unit and <$100k per purchase (Opex),630700,Op Ex,,,,Extend,"$101,251","$72,000","$72,000","$29,251","$29,251",,,"$79,200","$79,200","$79,200",$0,"$7,200"
IS ED&EUS,IS ED&EUS - End User Services (65140),Laptops for New Hires,,,"CDW Direct, LLC",2101 - US,INFRA --- Infrastructure over $5k per unit or IT Supplies for Office Move (Capex),150300,Cap Ex,,,,Extend,$0,$0,"$660,000",$0,"-$480,000",,,"$525,000","$525,000","$525,000",$0,"-$135,000"
IS ED&EUS,IS ED&EUS - End User Services (65140),New Hire laptops Europe,New Hire laptops Europe,Hardware,HiberniaEvros Technology Group,1200 - IRE,INFRA --- Infrastructure over $5k per unit or IT Supplies for Office Move (Capex),150300,Cap Ex,,,,Extend,"$185,667","$572,667",456000,"-$387,000","-$234,333",,,"$87,600","$87,600","$87,600",$0,"-$368,400"
BPS R&D,IS R&D – Global Medical Affairs (65170),Medical Affairs - Polaris - Educational Grant Software - SaaS Fees (Eleana),,Polaris,IQVIA Inc,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,03/31/25,,Extend,"$138,952","$135,708","$135,708","$3,244","$3,256",,,"$149,352","$149,352","$149,352",$0,"$13,644"
IS ED&EUS,IS ED&EUS - End User Services (65140),Mobile Phone Airtime Service UK (New Contract),Mobile Phone Airtime Service UK (New Contract),Telephony,Vodafone UK,3115 - GWR,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,,,Extend,"$153,990","$216,000","$216,000","-$62,010","$129,990",,,"$120,000","$120,000","$120,000",$0,"-$96,000"
IS ED&EUS,IS ED&EUS - End User Services (65140),Mobile Phone service for Ireland,Mobile Phone service for Ireland,Telephony,Three Ireland Services (Hutchison),1200 - IRE,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,,,Extend,"$25,538","$66,000","$66,000","-$40,462","-$40,462",,,"$66,000","$66,000","$66,000",$0,$0
IS ED&EUS,IS ED&EUS - End User Services (65140),Mobility for France Office and Sales from Orange France,,Telephony,Orange,1200 - IRE,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,,,Extend,"$12,600","$50,400","$50,400","-$37,800","-$37,800",,,$0,$0,$0,$0,"-$50,400"
IS ED&EUS,IS ED&EUS - End User Services (65140),Mobility - AT&T.,,,AT&T Mobility,2101 - US,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,,,Extend,$0,$0,"$43,200",$0,"-$43,200",,,"$30,000","$30,000","$30,000",$0,"-$13,200"
IS ED&EUS,IS ED&EUS - End User Services (65140),"Mobility, broadband and landlines from Vodafone (JPI)",Mobile Phone Airtime Service UK (Old Contract),Telephony,Vodafone UK,3101 - OXF,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,,,Extend,"$123,478","$90,000","$90,000","$33,478","$33,478",,,"$36,000","$36,000","$36,000",$0,"-$54,000"
IS ED&EUS,IS ED&EUS - End User Services (65140),"Mobility, broadband Verizon",,,Verizon,2101 - US,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,,,Extend,$0,$0,"$480,000",$0,"-$480,000",,,"$348,000","$348,000","$348,000",$0,"-$132,000"
IS Infrastructure,IS Global Infrastructure – Network (65150),Network DDNS,Network - DDNS,Vercara,Neustar Inc.,2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,12/31/24,,Extend,"$91,135","$53,397","$53,397","$37,738","$55,135",,,"$60,000","$60,000","$60,000",$0,"$6,603"
BPS R&D,IS R&D – Research & NonClinical Development (65170),Non-Clinical:  WinNonlin (Pharsight) for Pharmacometrics,Non-Clinical:  WinNonlin and NLME (Pharsight) for Pharmacometrics,WinNonlin,Certara USA Inc,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,09/20/25,True,Extend,"$28,947","$100,918","$95,961","-$71,971","-$58,290",,,"$117,235","$117,235","$117,235",$0,"$21,275"
IS Infosec,IS InfoSec & EA - IAM (65190),Okta - Estimating for 6500 users (licenses) for 2024. Cost: 9.25 per user per month,,Okta,Evotek,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,05/27/26,True,Extend,"$665,741","$665,794","$665,794",-$52,"-$11,194",,,"$684,000","$684,000","$684,000",$0,"$18,206"
IS Infrastructure,IS Global Infrastructure - Cloud (65150),Oracle Databases Support Maintenance,Cloud - Oracle Databases Support Maintenance,Oracle,Oracle America Inc,2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,02/19/25,True,Extend,"$26,329","$26,489","$14,159",-$160,"$6,329",,,"$20,000","$20,000","$20,000",$0,"$5,841"
ERP,ERP Project Harmony (66100),"Planning, Budgeting, Consolidation (BPC) - AMS, Hosting, IMS, BASIS - RUN (includes S/4 resource until Mar 2021)",,,Teklink International AG,1200 - IRE,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,07/31/23,,Extend,"$387,760","$411,000","$411,000","-$23,240","$27,760",,,"$295,500","$295,500","$295,500",$0,"-$115,500"
ERP,ERP Project Harmony (66100),"Planning, Budgeting, Consolidation (BPC) - Support and Maintenance - RUN",,,NTT Itelligence,1200 - IRE,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,12/31/23,,Extend,"$27,810","$111,240","$111,240","-$83,430","-$80,190",,,"$120,000","$120,000","$120,000",$0,"$8,760"
BPS TechOps,IS TechOps & Quality – Manufacturing (65130),"90 named user + 10 education hub licence approx €32,000",,,Minitab Limited,1200 - IRE,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,03/01/24,,Extend,"$29,923",$0,"$45,000","$29,923","-$5,077",,,"$41,000","$41,000","$41,000",$0,"-$4,000"
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),"Proofpoint Email Security.  
(POD, TAP, and TRAP)",,Proofpoint,Proofpoint,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,10/28/24,True,Extend,"$325,399","$333,463","$333,463","-$8,063","$41,151",,,"$334,470","$334,470","$334,470",$0,"$1,008"
BPS R&D,IS R&D – Global Medical Affairs (65170),Pubshub Publication Management Solution SaaS Fees (Brian Sheckner/Manish Patel),,PubsHub,ICON,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,12/31/25,,Extend,"$120,440","$120,444","$120,444",-$5,"$1,244",,,"$124,080","$124,080","$124,080",$0,"$3,636"
BPS TechOps,IS TechOps & Quality – QA (65130),"Quality - QMS - ETQ Hosting, Licences, & Software Maintenance Annual Fees",,Reliance,ETQ Management Consultants Inc,1200 - IRE,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,08/31/23,True,Retire,$0,"$75,698","$37,849","-$75,698","-$213,330",,,$0,$0,$0,$0,"-$37,849"
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),"Qualys Guard (Vulnerability Scanner for 1024 Internal IPs, 64 External IPs) and Patch Mgmt",,Qualys Inc,Qualys Inc,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,06/20/24,,Extend,"$69,204","$94,470","$94,470","-$25,266","-$18,671",,,"$90,360","$90,360","$90,360",$0,"-$4,110"
BPS R&D,IS R&D - Global Regulatory Affairs (65170),Regulatory A4/5 Labeling Software Annual Maintenance,,I4I,I4I,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,09/30/23,,Extend,"$39,116","$20,500","$20,500","$18,616","$18,616",,,"$31,500","$31,500","$31,500",$0,"$11,000"
BPS R&D,IS R&D - Global Regulatory Affairs (65170),"Regulatory: ISI/CSC Desktop Software (ISI Toolbox, etc) Maintenance",,ISI,"CSC Consulting, Inc",2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,07/31/23,,Extend,"$19,799","$20,000","$20,000",-$201,"-$5,141",,,"$21,000","$21,000","$21,000",$0,"$1,000"
BPS R&D,IS R&D – Other/IT (65170),"Veeva Managed Services Contract for multiple Veeva applications (eTMF - Clinical, Regulatory, PM and MC)",,All R&D Veeva Vaults,Veeva Systems Inc,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,12/31/25,,Extend,"$147,175","$161,950","$168,400","-$14,775","-$20,475",,,"$176,820","$176,820","$176,820",$0,"$8,420"
BPS R&D,IS R&D – R&D Strategy & Operations (65170),Resource and Portfolio Management Solution - Application Mgmt Services,,Planisware,Planisware,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,,12/31/24,,Extend,"$18,000","$45,000","$18,000","-$27,000","-$27,000",,,"$45,000","$45,000","$45,000",$0,"$27,000"
BPS R&D,IS R&D – R&D Strategy & Operations (65170),Resource and Portfolio Management Solution - SaaS Fees - Run,,Planisware,Planisware,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,3 Year,08/20/27,True,Extend,"$422,339","$462,160","$460,688","-$39,821","-$20,797",,,"$485,780","$485,780","$485,780",$0,"$25,092"
BPS R&D,IS R&D – Data Sciences (65170),SAS Data Analysis and Data Protection - Hosting (Run),,SAS,d-Wise Technologies Inc,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,08/30/24,True,Extend,"$341,192","$392,817","$237,770","-$51,625","$76,763",,,"$770,213","$770,213","$770,213",$0,"$532,443"
IS ED&EUS,IS ED&EUS - Service Management (65140),Service-now.com. Saas Lic Fee,,,Servicenow Inc,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,3 Year,06/29/24,True,Extend,"$714,161","$714,135","$708,510",$26,"$115,811",,,"$719,863","$719,863","$719,760",-$103,"$11,353"
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),Smartsheet license renewal 2024,,,Smartsheetcom Inc,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,08/20/23,True,Extend,"$333,489","$375,464","$349,560","-$41,975","$34,446",,,"$427,272","$427,272","$427,272",$0,"$77,712"
IS Infrastructure,IS Global Infrastructure - Cloud (65150),Cloud - Monitoring for systems at Jazz sites,,Solarwinds,Loop1,2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,06/23/24,,Retire,$0,$0,$0,$0,"-$9,000",,,$0,$0,$0,$0,$0
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),"Crowd Strike Products:
.SaaS Antivirus Service for Laptops
.Crowd Strike SaaS Identity Threat Protection
.Crowdstrike cloud security module",,Crowdstrike,Crowdstrike,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,10/17/24,True,Extend,"$305,053","$393,525","$393,525","-$88,472","$37,117",,,"$414,936","$414,936","$414,936",$0,"$21,411"
IS ED&EUS,IS ED&EUS - Collaboration & Productivity Platforms (65140),Telephony SaaS 8x8 Monthly Fees,,,8x8 Inc,2101 - US,"INFRA --- Communications - telecom, video, network (Opex)",650500,Op Ex,,,,Extend,"$15,490","$30,000","$30,000","-$14,510","-$14,510",,,"$36,000","$36,000","$36,000",$0,"$6,000"
BPS Commercial,IS Commercial - EU & Int'l (65160),"Baseline Jazz CRM licenses (Events, CRM, Approved Email, Admin, Engage)","30413 - contract ID in Coupa
PR 21449",Veeva CRM,EU - Veeva Systems Inc,1200 - IRE,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,1 Year,10/07/23,True,Extend,"$855,675","$910,294","$910,292","-$54,618","$107,250",,,"$993,704","$993,704","$993,704",$0,"$83,412"
BPS Commercial,IS Commercial - Omnichannel (65160),Veeva CRM License & Subscription (Combined),Veeva CRM License & Subscription,Veeva,US - Veeva Systems Inc,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,10/07/23,,Extend,"$1,628,178","$1,430,994","$1,800,000","$197,184","$133,038",,,"$2,000,000","$2,000,000","$2,000,000",$0,"$200,000"
IS Infrastructure,IS Global Infrastructure - Manufacturing (65150),Manufacturing - Virtualization maintenance (Jazz),,VMWare Jazz,Groupware Technology Inc,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,12/10/24,,Retire,$0,$0,$0,$0,"-$25,256",,,$0,$0,$0,$0,$0
BPS Commercial,IS Commercial - Omnichannel (65160),Website support (Workbox) - Support,-,-,Workbox Inc,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,12/31/23,,Extend,"$61,212","$60,000","$105,000","$1,212","-$43,788",,,"$100,000","$100,000","$100,000",$0,"-$5,000"
BPS R&D,IS R&D - Global Regulatory Affairs (65170),Regulatory - JazzVault RIM - SaaS -  Annual License Subscription Run,,JV RIM,Veeva Systems Inc,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,10/31/23,True,Extend,"$1,268,041","$1,268,041","$1,260,271",-$0,"$170,041",,,"$1,340,325","$1,340,325","$1,340,325",$0,"$80,054"
BPS Corporate,IS Corporate - Corporate Affairs (65180),Knack Solution SAAS Licensing,,,Knack,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,06/01/25,,Retire,"$62,451","$40,000","$40,000","$22,451","$2,451",,,$0,$0,$0,$0,"-$40,000"
IS Enterprise Data,IS Enterprise Data & Analytics (65115),Alteryx Designer License for 14 users - Yearly Renewal,Alteryx Designer License for 14 users - Yearly Renewal,Alteryx Designer,"Alteryx, Inc.",2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,No,04/29/25,True,Extend,"$109,399","$69,096","$69,096","$40,303","$40,303",,,"$71,688","$71,688","$71,688",$0,"$2,592"
IS Enterprise Data,IS Enterprise Data & Analytics (65115),TOAD - Yearly Licenses,TOAD - Yearly Licenses,TOAD,Dell Financial Services,2101 - US,"APPS ---  Applications Services, Maintenance, Support, or OLTA Enhancements <$50k (Opex)",670110,Op Ex,5 Year,07/31/25,True,Extend,"$20,000","$20,000","$20,000",$0,$0,,,"$30,000","$30,000","$30,000",$0,"$10,000"
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),DigiCert Enterprise Managed PKI,,DigiCert,DigiCert,2101 - US,APPS --- Software Licenses under $5k/license and <$100k/purchase (Opex),670110,Op Ex,,10/01/24,,Extend,"$100,140","$134,614","$134,614","-$34,474","-$16,167",,,"$110,596","$110,596","$110,596",$0,"-$24,018"
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),ManageEngine Active Directory Audit Software,,ManageEngine,ManageEngine,2101 - US,APPS --- SaaS Subscription Fees (Opex),670110,Op Ex,,06/06/26,True,Extend,"$29,902","$29,904","$29,904",-$2,"$9,968",,,"$29,901","$29,901","$29,901",$0,-$3
IS Infosec,IS InfoSec & EA - Eng & Ops (65190),vSOC Detect Managed Service (Exabeam + Splunk + 6 months online storage+EDR),,Deepwatch,GuidePoint Security LLC,2101 - US,"INFRA --- Infrastructure Services, Maintenance and Support (Opex)",630950,Op Ex,,06/28/24,True,Extend,"$407,996","$563,995","$571,793","-$155,999","-$215,704",,,"$596,867","$596,867","$596,867",$0,"$25,074"
