Report Key,Entry Key,Report Name,Report ID,Transaction Date [Old],Transaction Date,Sent for Payment Date,Employee ID,Department Code,Department,Project Code,Legal Entity (Employee profile),Expense Type,Purpose,Vendor,Payment Type,Credit Card Account Key,Last Four Account Digits,Approved Amount (USD),Reporting Currency,Expense Amount (transaction currency),Transaction Currency,Approved Amount,Reimbursement Currency,Account Code 1,HCP Attendee,Exception Text,Month and Year,Cost Centre Lookup,GL Account,,
44467,488816,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 24, 2023","Oct 24, 2023","Jan 10, 2024",2585,65140,65140,,1200,Employee Meal - Dinner,Munich site support,Augustiner Klosterwirt,Bank of America Corporate Card,4,990,105.50,USD,98.89,EUR,98.89,EUR,620100,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,620100 - Employee Meals/Activities,,
44467,488817,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 24, 2023","Oct 24, 2023","Jan 10, 2024",2585,65140,65140,,1200,Employee Meal - Breakfast,Munich site support,HYPERION HOTEL MUENCHE,Bank of America Corporate Card,4,990,42.67,USD,40,EUR,40,EUR,620100,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,620100 - Employee Meals/Activities,,
44467,488818,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 24, 2023","Oct 24, 2023","Jan 10, 2024",2585,65140,65140,,1200,Taxi,Munich site support,SANI TAXI GMBH 2103,Bank of America Corporate Card,4,990,22.51,USD,21.1,EUR,21.1,EUR,640800,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,640800 - Automobile/Tolls/Parking,,
44467,488819,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 23, 2023","Oct 23, 2023","Jan 10, 2024",2585,65140,65140,,1200,Employee Meal - Snacks,Munich site support,ANKUNFTBAR C E4 T1,Bank of America Corporate Card,4,990,4.45,USD,4.2,EUR,4.2,EUR,620100,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,620100 - Employee Meals/Activities,,
44467,488820,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 23, 2023","Oct 23, 2023","Jan 10, 2024",2585,65140,65140,,1200,Employee Meal - Snacks,Munich site support,HYPERION HOTEL MUENCHE,Bank of America Corporate Card,4,990,19.06,USD,18,EUR,18,EUR,620100,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,620100 - Employee Meals/Activities,,
44467,488821,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 23, 2023","Oct 23, 2023","Jan 10, 2024",2585,65140,65140,,1200,Employee Meal - Dinner,Munich site support,HYPERION HOTEL MUENCHE,Bank of America Corporate Card,4,990,128.69,USD,121.5,EUR,121.5,EUR,620100,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,620100 - Employee Meals/Activities,,
44467,488822,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 23, 2023","Oct 23, 2023","Jan 10, 2024",2585,65140,65140,,1200,Taxi,Munich site support,FREENOW 9SMF66-2,Bank of America Corporate Card,4,990,39.61,USD,37.4,EUR,37.4,EUR,640800,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,640800 - Automobile/Tolls/Parking,,
44467,488823,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 23, 2023","Oct 23, 2023","Jan 10, 2024",2585,65140,65140,,1200,Taxi,Munich site support,Zettle_ MOHAMED LARBAO,Bank of America Corporate Card,4,990,103.05,USD,97.3,EUR,97.3,EUR,640800,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,640800 - Automobile/Tolls/Parking,,
44467,488824,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 13, 2023","Oct 13, 2023","Jan 10, 2024",2585,65140,65140,,1200,Airfare,Meeting Support,AIRMALTA6 64329365011809,Bank of America Corporate Card,4,990,215.16,USD,204.29,EUR,204.29,EUR,640100,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,640100 - Airfare/Rail,,
44467,488825,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 13, 2023","Oct 13, 2023","Jan 10, 2024",2585,65140,65140,,1200,Airfare,Munich site support,Aer Lingus,Bank of America Corporate Card,4,990,399.51,USD,379.33,EUR,379.33,EUR,640100,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,640100 - Airfare/Rail,,
44467,488826,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 13, 2023","Oct 13, 2023","Jan 10, 2024",2585,65140,65140,,1200,Airfare,Meeting support,Aer Lingus,Bank of America Corporate Card,4,990,224.31,USD,212.98,EUR,212.98,EUR,640100,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,640100 - Airfare/Rail,,
44467,488827,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 13, 2023","Oct 13, 2023","Jan 10, 2024",2585,65140,65140,,1200,Agency Booking Fees,Meeting support,BCD TRAVE 481259975,Bank of America Corporate Card,4,990,6.21,USD,5.9,EUR,5.9,EUR,780700,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,780700 - Other Misc Expense,,
44467,488828,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 13, 2023","Oct 13, 2023","Jan 10, 2024",2585,65140,65140,,1200,Agency Booking Fees,Meeting support,BCD TRAVE 481259975,Bank of America Corporate Card,4,990,3.53,USD,3.35,EUR,3.35,EUR,780700,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,780700 - Other Misc Expense,,
44467,488829,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 13, 2023","Oct 13, 2023","Jan 10, 2024",2585,65140,65140,,1200,Agency Booking Fees,Meeting support,BCD TRAVE 491324086,Bank of America Corporate Card,4,990,9.74,USD,9.25,EUR,9.25,EUR,780700,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,780700 - Other Misc Expense,,
44467,488830,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 13, 2023","Oct 13, 2023","Jan 10, 2024",2585,65140,65140,,1200,Agency Booking Fees,Meeting support,BCD TRAVE 491324086,Bank of America Corporate Card,4,990,9.74,USD,9.25,EUR,9.25,EUR,780700,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,780700 - Other Misc Expense,,
44467,488831,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 5, 2023","Oct 5, 2023","Jan 10, 2024",2585,65140,65140,,1200,Employee Meal - Dinner,Athlone support,APPLEGREEN MSA M4 ENFI,Bank of America Corporate Card,4,990,19.65,USD,18.7,EUR,18.7,EUR,620100,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,620100 - Employee Meals/Activities,,
44467,488990,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 23, 2023","Oct 23, 2023","Jan 10, 2024",2585,65140,65140,,1200,Hotel,Munich site support,HYPERION HOTEL MUENCHE,Bank of America Corporate Card,4,990,362.22,USD,342,EUR,342,EUR,640300,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,640300 - Lodging,,
44467,488991,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 24, 2023","Oct 24, 2023","Jan 10, 2024",2585,65140,65140,,1200,Hotel,Munich site support,HYPERION HOTEL MUENCHE,Bank of America Corporate Card,4,990,348.86,USD,327,EUR,327,EUR,640300,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,640300 - Lodging,,
44467,489134,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 5, 2023","Oct 5, 2023","Jan 10, 2024",2585,65140,65140,,1200,Personal Car Mileage,Athlone support,,Personal Card/Cash,,,87.31,USD,83.1,EUR,83.1,EUR,640100,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,640100 - Airfare/Rail,,
44467,489135,End of year expenses,A1ED0E35EB3F47C38D3E,"Oct 20, 2023","Oct 20, 2023","Jan 10, 2024",2585,65140,65140,,1200,Personal Car Mileage,Athlone support,,Personal Card/Cash,,,87.93,USD,83.1,EUR,83.1,EUR,640100,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,640100 - Airfare/Rail,,
44467,489136,End of year expenses,A1ED0E35EB3F47C38D3E,"Nov 8, 2023","Nov 8, 2023","Jan 10, 2024",2585,65140,65140,,1200,Personal Car Mileage,Athlone support,,Personal Card/Cash,,,88.91,USD,83.1,EUR,83.1,EUR,640100,,"Warning: You have unsubmitted company card transactions that exceed the age limit allowed by your company policy.  These transactions must be submitted before this report can be submitted.  If these transactions are already  assigned to another unsubmitted report, it is listed below and must be submitted first.",Jan-24, IS Enterprise Delivery & End User Services,640100 - Airfare/Rail,,
44875,495249,Atlhone Phase 4 UAT,6D4EC455B4BC41D9A13A,"Dec 6, 2023","Dec 6, 2023","Jan 3, 2024",8112,66100,66100,,1200,Employee Meal - Dinner,Atlhone PH4 UAT,MCDONALDS,Bank of America Corporate Card,1521,6847,12.20,USD,11.3,EUR,11.3,EUR,620100,,,Jan-24, ERP Harmony,620100 - Employee Meals/Activities,,
44875,495250,Atlhone Phase 4 UAT,6D4EC455B4BC41D9A13A,"Dec 5, 2023","Dec 5, 2023","Jan 3, 2024",8112,66100,66100,,1200,Employee Meal - Snacks,Atlhone PH4 UAT,COCA COLA,Bank of America Corporate Card,1521,6847,1.63,USD,1.5,EUR,1.5,EUR,620100,,,Jan-24, ERP Harmony,620100 - Employee Meals/Activities,,
44875,495252,Atlhone Phase 4 UAT,6D4EC455B4BC41D9A13A,"Dec 5, 2023","Dec 5, 2023","Jan 3, 2024",8112,66100,66100,,1200,Employee Meal - Snacks,Atlhone PH4 UAT,COCA COLA,Bank of America Corporate Card,1521,6847,1.63,USD,1.5,EUR,1.5,EUR,620100,,,Jan-24, ERP Harmony,620100 - Employee Meals/Activities,,
44875,495253,Atlhone Phase 4 UAT,6D4EC455B4BC41D9A13A,"Dec 6, 2023","Dec 6, 2023","Jan 3, 2024",8112,66100,66100,,1200,Employee Meal - Snacks,Atlhone PH4 UAT,KILMARTIN N6 SERVICE S,Bank of America Corporate Card,1521,6847,8.42,USD,7.8,EUR,7.8,EUR,620100,,,Jan-24, ERP Harmony,620100 - Employee Meals/Activities,,
44875,495278,Atlhone Phase 4 UAT,6D4EC455B4BC41D9A13A,"Dec 5, 2023","Dec 5, 2023","Jan 3, 2024",8112,66100,66100,,1200,Hotel,Atlhone PH4 UAT,ATHLONE SPRINGS HOTEL,Bank of America Corporate Card,1521,6847,157.10,USD,145,EUR,145,EUR,640300,,,Jan-24, ERP Harmony,640300 - Lodging,,
44875,495279,Atlhone Phase 4 UAT,6D4EC455B4BC41D9A13A,"Dec 5, 2023","Dec 5, 2023","Jan 3, 2024",8112,66100,66100,,1200,Personal Car Mileage,Atlhone PH4 UAT,,Personal Card/Cash,,,150.92,USD,139.3,EUR,139.3,EUR,640100,,,Jan-24, ERP Harmony,640100 - Airfare/Rail,,
44875,495280,Atlhone Phase 4 UAT,6D4EC455B4BC41D9A13A,"Dec 5, 2023","Dec 5, 2023","Jan 3, 2024",8112,66100,66100,,1200,Tolls/Road Charges,Atlhone PH4 UAT,141D39275,Personal Card/Cash,,,7.26,USD,6.7,EUR,6.7,EUR,640800,,,Jan-24, ERP Harmony,640800 - Automobile/Tolls/Parking,,
44875,495281,Atlhone Phase 4 UAT,6D4EC455B4BC41D9A13A,"Dec 6, 2023","Dec 6, 2023","Jan 3, 2024",8112,66100,66100,,1200,Tolls/Road Charges,Atlhone PH4 UAT,141D39275,Personal Card/Cash,,,7.23,USD,6.7,EUR,6.7,EUR,640800,,,Jan-24, ERP Harmony,640800 - Automobile/Tolls/Parking,,
45197,499594,MDG Deepdive with NTT London,37A9FB98C6F14BEE895B,"Dec 14, 2023","Dec 14, 2023","Jan 3, 2024",8112,66100,66100,,1200,Taxi,MDG Deepdive NTT london meeting,SumUp   Kamal Singh /,Bank of America Corporate Card,1521,6847,51.34,USD,47.2,EUR,47.2,EUR,640800,,,Jan-24, ERP Harmony,640800 - Automobile/Tolls/Parking,,
45197,499600,MDG Deepdive with NTT London,37A9FB98C6F14BEE895B,"Dec 13, 2023","Dec 13, 2023","Jan 3, 2024",8112,66100,66100,,1200,Employee Meal - Snacks,MDG Deepdive NTT london meeting,WH Smith Dublin Airpor,Bank of America Corporate Card,1521,6847,15.22,USD,14.1,EUR,14.1,EUR,620100,,,Jan-24, ERP Harmony,620100 - Employee Meals/Activities,,
45197,499603,MDG Deepdive with NTT London,37A9FB98C6F14BEE895B,"Dec 13, 2023","Dec 13, 2023","Jan 3, 2024",8112,66100,66100,,1200,Taxi,MDG Deepdive NTT london meeting,SumUp   Barry Gosson,Bank of America Corporate Card,1521,6847,53.98,USD,50,EUR,50,EUR,640800,,,Jan-24, ERP Harmony,640800 - Automobile/Tolls/Parking,,
45197,499604,MDG Deepdive with NTT London,37A9FB98C6F14BEE895B,"Dec 4, 2023","Dec 4, 2023","Jan 3, 2024",8112,66100,66100,,1200,Airfare,MDG Deepdive NTT london meeting,Aer Lingus,Bank of America Corporate Card,1521,6847,195.88,USD,179.95,EUR,179.95,EUR,640100,,,Jan-24, ERP Harmony,640100 - Airfare/Rail,,
45197,499605,MDG Deepdive with NTT London,37A9FB98C6F14BEE895B,"Dec 4, 2023","Dec 4, 2023","Jan 3, 2024",8112,66100,66100,,1200,Agency Booking Fees,MDG Deepdive NTT london meeting,BCD TRAVE 491383867,Bank of America Corporate Card,1521,6847,10.07,USD,9.25,EUR,9.25,EUR,780700,,,Jan-24, ERP Harmony,780700 - Other Misc Expense,,
46113,509551,Dicembre 2023,B5703B4F0F8D4172B646,"Dec 27, 2023","Dec 27, 2023","Jan 10, 2024",1931,65130,65130,,3800,Tolls/Road Charges,Return in Gentium,UnipolMove,Personal Card/Cash,,,23.65,USD,21.42,EUR,21.42,EUR,610100,,This report was selected for a processor review.,Jan-24, IS Tech Ops and Quality,610100 - Employer Payroll Taxes,,
46113,509554,Dicembre 2023,B5703B4F0F8D4172B646,"Dec 27, 2023","Dec 27, 2023","Jan 10, 2024",1931,65130,65130,,3800,Personal Car Mileage,Return in Gentium,,Personal Card/Cash,,,63.68,USD,57.67,EUR,57.67,EUR,640100,,This report was selected for a processor review.,Jan-24, IS Tech Ops and Quality,640100 - Airfare/Rail,,
47007,510198,Coupa pay Training & IS xmas,27E0DFB56DE84F8CA5A3,"Dec 31, 2023","Dec 31, 2023","Jan 10, 2024",4584,65130,65130,,1200,Miscellaneous,Stamp duty,GOVERNMENT STAMP DUTY - 0873,Bank of America Corporate Card,1491,9766,24.86,USD,22.5,EUR,22.5,EUR,780700,,,Jan-24, IS Tech Ops and Quality,780700 - Other Misc Expense,,
46232,510206,December Expenses (01/12/2023),9ABF6E07363140078C06,"Dec 31, 2023","Dec 31, 2023","Jan 28, 2024",8107,65180,65180,,1200,Miscellaneous,stamp duty,GOVERNMENT STAMP DUTY - 0873,Bank of America Corporate Card,3004,8927,24.86,USD,22.5,EUR,22.5,EUR,780700,,,Jan-24, IS Corporate,780700 - Other Misc Expense,,
46247,510212,December Expenses (01/12/2023),F0F45B286DE04EC4AF0D,"Dec 31, 2023","Dec 31, 2023","Jan 16, 2024",2140,65180,65180,,1200,Tips/Gratuities,Government Stamp Duty,GOVERNMENT STAMP DUTY - 0873,Bank of America Corporate Card,1533,1653,24.86,USD,22.5,EUR,22.5,EUR,780700,,,Jan-24, IS Corporate,780700 - Other Misc Expense,,
46496,510232,January Expenses (01/01/2024),A46F3234C4674BA6B866,"Dec 31, 2023","Dec 31, 2023","Feb 6, 2024",3870,65180,65180,,1200,Miscellaneous,Card fees,GOVERNMENT STAMP DUTY - 0873,Bank of America Corporate Card,4078,2222,24.86,USD,22.5,EUR,22.5,EUR,780700,,,Jan-24, IS Corporate,780700 - Other Misc Expense,,
46356,510595,Stamp Duty BOA,22A7707A0C974DC9A1A7,"Dec 31, 2023","Dec 31, 2023","Jan 3, 2024",8112,66100,66100,,1200,Miscellaneous,Stamp Duty BoA,GOVERNMENT STAMP DUTY - 0873,Bank of America Corporate Card,1521,6847,24.86,USD,22.5,EUR,22.5,EUR,780700,,,Jan-24, ERP Harmony,780700 - Other Misc Expense,,
46496,511269,January Expenses (01/01/2024),A46F3234C4674BA6B866,"Jan 2, 2024","Jan 2, 2024","Feb 6, 2024",3870,65180,65180,,1200,Train,Harmony meeting ,IRISH RAIL 64390106-IP,Bank of America Corporate Card,4078,2222,12.80,USD,11.59,EUR,11.59,EUR,640100,,,Jan-24, IS Corporate,640100 - Airfare/Rail,,
